species,com_name,family,genus,Crystal,McDermott,Mendota,Sparkling,Trout,Trout_Bog,UMR_13,UMR_19,Wingra
Alosa.chrysochloris,Skipjack Herring,Clupeidae,Alosa,0,0,0,0,0,0,0,0,0
Ambloplites.rupestris,Rock Bass,Centrarchidae,Ambloplites,4,2,5,5,5,0,5,0,0
Ameiurus.melas,Black Bullhead,Ictaluridae,Ameiurus,5,2,2,0,1,0,5,0,0
Ameiurus.natalis,Yellow Bullhead,Ictaluridae,Ameiurus,4,0,3,0,2,0,5,0,5
Ameiurus.nebulosus,Brown Bullhead,Ictaluridae,Ameiurus,2,1,0,0,0,0,5,0,0
Amia.calva,Bowfin,Amiidae,Amia,0,0,1,0,0,0,5,1,0
Ammocrypta.clara,Western Sand Darter,Percidae,Ammocrypta,0,0,0,0,0,0,3,0,0
Aphredoderus.sayanus,Pirate Perch,Aphredoderidae,Aphredoderus,0,0,0,0,0,0,1,0,0
Aplodinotus.grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,0,0,5,0,0,0,5,1,1
Carpiodes.carpio,River Carpsucker,Catostomidae,Carpiodes,0,0,0,0,0,0,5,1,0
Carpiodes.cyprinus,Quillback,Catostomidae,Carpiodes,0,0,0,0,0,0,5,0,0
Carpiodes.velifer,Highfin Carpsucker,Catostomidae,Carpiodes,0,0,0,0,0,0,5,0,0
Catostomus.commersonii,White Sucker,Catostomidae,Catostomus,0,2,5,0,5,0,4,0,3
Coregonus.artedi,Cisco,Salmonidae,Coregonus,0,0,2,0,5,0,0,0,0
Coregonus.clupeaformis,Lake Whitefish,Salmonidae,Coregonus,0,0,0,0,5,0,0,0,0
Cottus.bairdii,Mottled Sculpin,Cottidae,Cottus,0,0,1,0,4,0,0,0,0
Crystallaria.asprella,Crystal Darter,Percidae,Crystallaria,0,0,0,0,0,0,2,0,0
Ctenopharyngodon.idella,Grass Carp,Cyprinidae,Ctenopharyngodon,0,0,0,0,0,0,0,1,0
Culaea.inconstans,Brook Stickleback,Gasterosteidae,Culaea,0,0,0,1,0,0,1,0,0
Cycleptus.elongatus,Blue Sucker,Catostomidae,Cycleptus,0,0,0,0,0,0,4,0,0
Cyprinella.lutrensis,Red Shiner,Cyprinidae,Cyprinella,0,0,0,0,0,0,0,1,0
Cyprinella.spiloptera,Spotfin Shiner,Cyprinidae,Cyprinella,0,0,1,0,0,0,5,1,0
Cyprinidae,Cyprinid Hybrid,Cyprinidae,Cyprinidae,0,0,0,0,0,0,0,1,0
Cyprinus.carpio,Common Carp,Cyprinidae,Cyprinus,0,0,5,0,1,0,5,1,5
Dorosoma.cepedianum,American Gizzard Shad,Clupeidae,Dorosoma,0,0,0,0,0,0,5,1,0
Esox.americanus.vermiculatus,Grass Pickerel,Esocidae,Esox,0,0,0,1,0,0,2,0,0
Esox.lucius,Northern Pike,Esocidae,Esox,0,2,5,0,1,0,5,1,3
Esox.masquinongy,Muskellunge,Esocidae,Esox,0,2,0,3,1,0,0,0,2
Etheostoma.asprigene,Mud Darter,Percidae,Etheostoma,0,0,0,0,0,0,4,1,0
Etheostoma.exile,Iowa Darter,Percidae,Etheostoma,0,2,2,2,1,0,0,0,0
