Scientific.Name,Muck,Clay.Silt,Sand,Gravel,Cobble.rubble.,Boulder,Bedrock,Vegetation,Organic.Debris,Large.Woody.Debris,Pelagic,Perfer.Lotic
Ambloplites.rupestris,1,0,0,1,1,0,0,1,1,1,0,1
Amia.calva,0,0,1,1,0,0,0,1,1,0,0,0
Aplodinotus.grunniens,1,1,0,0,0,0,0,0,0,0,0,0
Catostomus.commersonii,1,1,1,1,1,1,1,1,1,0,0,1
Cyprinella.spiloptera,0,0,1,1,1,0,0,0,0,0,0,1
Cyprinus.carpio,1,1,1,1,1,0,0,1,1,0,0,0
Dorosoma.cepedianum,0,0,0,0,0,0,0,0,0,0,1,0
Esox.lucius,1,1,1,1,1,1,0,1,1,0,0,0
Esox.masquinongy,0,0,0,1,1,1,0,0,1,1,0,0
Etheostoma.exile,1,1,1,1,1,1,0,0,1,0,0,0
Etheostoma.flabellare,0,0,0,1,1,0,0,0,0,0,0,1
Etheostoma.nigrum,0,1,1,1,1,0,0,1,1,0,0,0
Hypophthalmichthys.molitrix,0,0,1,0,0,0,0,0,0,0,1,1
Ictalurus.punctatus,0,0,1,1,1,1,0,0,1,1,0,1
Lepomis.macrochirus,0,0,0,0,0,0,0,1,1,0,0,0
Micropterus.dolomieu,0,0,0,1,1,0,0,0,0,0,0,1
Micropterus.salmoides,0,1,1,1,1,0,0,1,0,0,0,0
Morone.chrysops,0,0,0,1,1,0,1,0,0,0,1,0
Notemigonus.crysoleucas,0,0,0,0,0,0,0,1,1,0,0,0
Perca.flavescens,1,1,1,1,1,1,0,1,0,1,0,0
Percina.caprodes,0,0,0,1,1,0,0,0,0,0,0,1
Percopsis.omiscomaycus,1,1,1,1,1,1,1,0,1,1,0,0
Pimephales.promelas,1,1,0,0,0,0,0,1,1,1,0,0
Pomoxis.nigromaculatus,1,1,1,0,0,0,0,1,1,1,0,0
Pylodictis.olivaris,0,0,0,1,1,1,1,0,1,1,0,0
Sander.vitreus,0,0,1,1,1,1,1,1,0,0,0,0
Scaphirhynchus.platorynchus,0,0,1,1,0,0,0,0,0,0,0,1
Umbra.limi,1,1,1,1,1,1,0,0,1,0,0,0
Cottus.bairdii,0,0,0,1,1,1,0,1,0,0,0,1
Ameiurus.melas,1,0,0,0,0,0,0,1,1,1,0,1
Ameiurus.natalis,0,1,1,1,1,1,1,1,1,1,0,0
Ameiurus.nebulosus,1,1,1,1,0,0,0,1,0,0,0,0
Ammocrypta.clara,0,0,1,1,1,0,0,0,0,0,0,1
Aphredoderus.sayanus,0,0,1,0,0,0,0,1,1,1,0,0
Carpiodes.carpio,1,1,1,0,0,0,0,0,0,0,0,0
Carpiodes.cyprinus,0,0,1,1,1,1,1,0,0,0,0,0
Carpiodes.velifer,1,1,1,1,0,0,0,0,0,0,0,1
Crystallaria.asprella,0,0,1,1,0,0,0,0,0,0,0,1
Ctenopharyngodon.idella,0,0,0,0,0,0,0,1,0,0,0,1
Culaea.inconstans,1,1,1,1,1,1,0,0,0,0,0,0
Cycleptus.elongatus,0,0,0,1,1,0,0,0,0,0,0,1
Cyprinella.lutrensis,0,1,1,1,0,0,0,0,0,0,0,1
Etheostoma.asprigene,1,1,1,1,0,0,0,0,0,0,0,1
Fundulus.notatus,1,1,1,1,1,0,0,1,0,0,0,1
Gambusia.affinis,1,1,1,1,1,0,0,1,0,0,0,0
Hiodon.tergisus,0,0,0,1,1,0,0,0,0,0,0,1
Hybognathus.nuchalis,1,1,1,1,0,0,0,0,0,0,0,1
Hypentelium.nigricans,0,0,0,1,1,1,1,0,0,0,0,1
Hypophthalmichthys.nobilis,0,0,0,0,0,0,0,0,0,0,1,1
Ichthyomyzon.castaneus,0,1,1,1,0,0,0,0,0,0,0,1
Ichthyomyzon.unicuspis,1,1,1,1,0,0,0,0,0,0,0,1
Ictiobus.bubalus,0,0,0,0,0,0,0,1,1,1,0,1
Ictiobus.cyprinellus,0,1,1,1,0,0,0,1,1,1,0,0
Ictiobus.niger,1,1,1,1,1,1,1,1,1,1,0,1
Labidesthes.sicculus,1,1,1,1,1,1,1,1,1,0,0,0
Lepisosteus.osseus,0,0,0,0,0,0,0,1,0,0,1,0
