#q2:types	categorical	categorical	categorical	categorical
SampleID	SampleName	Lake	SampleProject	Description
1	TRT1	Trout	Decision_Support_Tool	12S
2	TRT2	Trout	Decision_Support_Tool	12S
3	TRT3	Trout	Decision_Support_Tool	12S
4	TRT4	Trout	Decision_Support_Tool	12S
5	TRT5	Trout	Decision_Support_Tool	12S
6	TRT6	Trout	Decision_Support_Tool	12S
7	TRT7	Trout	Decision_Support_Tool	12S
8	TRT8	Trout	Decision_Support_Tool	12S
9	TRT9	Trout	Decision_Support_Tool	12S
10	TRT10	Trout	Decision_Support_Tool	12S
11	TRT11	Trout	Decision_Support_Tool	12S
12	TRT12	Trout	Decision_Support_Tool	12S
13	TRT13	Trout	Decision_Support_Tool	12S
14	TRT14	Trout	Decision_Support_Tool	12S
15	TRT15	Trout	Decision_Support_Tool	12S
16	TRT16	Trout	Decision_Support_Tool	12S
17	TRT17	Trout	Decision_Support_Tool	12S
18	TRT18	Trout	Decision_Support_Tool	12S
19	TRT19	Trout	Decision_Support_Tool	12S
20	TRT20	Trout	Decision_Support_Tool	12S
21	TRT21	Trout	Decision_Support_Tool	12S
22	TRT22	Trout	Decision_Support_Tool	12S
23	MOCKA	NA	Decision_Support_Tool	12S
24	NTC1	NA	Decision_Support_Tool	12S
25	TRT23	Trout	Decision_Support_Tool	12S
26	TRT24	Trout	Decision_Support_Tool	12S
27	TRT25	Trout	Decision_Support_Tool	12S
28	TRT26	Trout	Decision_Support_Tool	12S
29	TRT27	Trout	Decision_Support_Tool	12S
30	TRT28	Trout	Decision_Support_Tool	12S
31	TRT29	Trout	Decision_Support_Tool	12S
32	TRT30	Trout	Decision_Support_Tool	12S
33	TRT31	Trout	Decision_Support_Tool	12S
34	TRT32	Trout	Decision_Support_Tool	12S
35	TRT33	Trout	Decision_Support_Tool	12S
36	TRT34	Trout	Decision_Support_Tool	12S
37	TRT35	Trout	Decision_Support_Tool	12S
39	TRT37	Trout	Decision_Support_Tool	12S
40	TRT38	Trout	Decision_Support_Tool	12S
41	TRT39	Trout	Decision_Support_Tool	12S
42	TRT40	Trout	Decision_Support_Tool	12S
43	TRT41	Trout	Decision_Support_Tool	12S
44	TRT42	Trout	Decision_Support_Tool	12S
45	TRT43	Trout	Decision_Support_Tool	12S
46	TRT44	Trout	Decision_Support_Tool	12S
47	MOCKB	NA	Decision_Support_Tool	12S
48	NTC2	NA	Decision_Support_Tool	12S
49	TRT45	Trout	Decision_Support_Tool	12S
50	TRT46	Trout	Decision_Support_Tool	12S
51	TRT47	Trout	Decision_Support_Tool	12S
52	TRT48	Trout	Decision_Support_Tool	12S
53	TRT49	Trout	Decision_Support_Tool	12S
54	TRT50	Trout	Decision_Support_Tool	12S
55	TRTBLK1	Trout	Decision_Support_Tool	12S
56	TRTBLK2	Trout	Decision_Support_Tool	12S
57	TRTBLK3	Trout	Decision_Support_Tool	12S
58	TRTBLK4	Trout	Decision_Support_Tool	12S
59	TRTBLK5	Trout	Decision_Support_Tool	12S
60	WIN1	Wingra	Decision_Support_Tool	12S
61	WIN2	Wingra	Decision_Support_Tool	12S
62	WIN3	Wingra	Decision_Support_Tool	12S
63	WIN4	Wingra	Decision_Support_Tool	12S
64	WIN5	Wingra	Decision_Support_Tool	12S
65	WIN6	Wingra	Decision_Support_Tool	12S
66	WIN7	Wingra	Decision_Support_Tool	12S
67	WIN8	Wingra	Decision_Support_Tool	12S
68	WIN9	Wingra	Decision_Support_Tool	12S
69	WIN10	Wingra	Decision_Support_Tool	12S
70	WIN11	Wingra	Decision_Support_Tool	12S
71	WIN12	Wingra	Decision_Support_Tool	12S
72	NTC3	NA	Decision_Support_Tool	12S
73	WIN13	Wingra	Decision_Support_Tool	12S
74	WIN14	Wingra	Decision_Support_Tool	12S
75	WIN15	Wingra	Decision_Support_Tool	12S
76	WIN16	Wingra	Decision_Support_Tool	12S
77	WIN17	Wingra	Decision_Support_Tool	12S
78	WIN18	Wingra	Decision_Support_Tool	12S
