com_name,family,genus,sci_name,fish
Lake Sturgeon,Acipenseridae,Acipenser,Acipenser.fulvescens,1
Skipjack Herring,Clupeidae,Alosa,Alosa.chrysochloris,1
Rock Bass,Centrarchidae,Ambloplites,Ambloplites.rupestris,1
Black Bullhead,Ictaluridae,Ameiurus,Ameiurus.melas,1
Brown Bullhead,Ictaluridae,Ameiurus,Ameiurus.nebulosus,1
Yellow Bullhead,Ictaluridae,Ameiurus,Ameiurus.natalis,1
Bowfin,Amiidae,Amia,Amia.calva,1
Western Sand Darter,Percidae,Ammocrypta,Ammocrypta.clara,1
American Eel,Anguillidae,Anguilla,Anguilla.rostrata,1
Pirate Perch,Aphredoderidae,Aphredoderus,Aphredoderus.sayanus,1
Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus.grunniens,1
Central Stoneroller,Cyprinidae,Campostoma,Campostoma.anomalum,1
Goldfish,Cyprinidae,Carassius,Carassius.auratus,1
Highfin Carpsucker,Catostomidae,Carpiodes,Carpiodes.velifer,1
Quillback,Catostomidae,Carpiodes,Carpiodes.cyprinus,1
River Carpsucker,Catostomidae,Carpiodes,Carpiodes.carpio,1
White Sucker,Catostomidae,Catostomus,Catostomus.commersonii,1
Striped Mullet,Mugilidae,Chelon,Chelon.tricuspidens,1
Southern Redbelly Dace,Cyprinidae,Chrosomus,Chrosomus.erythrogaster,1
Finescale Dace,Cyprinidae,Chrosomus,Chrosomus.neogaeus,1
Northern Red Belly Dace,Cyprinidae,Chrosomus,Chrosomus.eos,1
Cisco,Salmonidae,Coregonus,Coregonus.artedi,1
Lake Whitefish,Salmonidae,Coregonus,Coregonus.clupeaformis,1
Shortjaw Cisco,Salmonidae,Coregonus,Coregonus.zenithicus,1
Banded Sculpin,Cottidae,Cottus,Cottus.carolinae,1
Mottled Sculpin,Cottidae,Cottus,Cottus.bairdii,1
Slimy Sculpin,Cottidae,Cottus,Cottus.cognatus,1
Crystal Darter,Percidae,Crystallaria,Crystallaria.asprella,1
Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon.idella,1
Brook Stickleback,Gasterosteidae,Culaea,Culaea.inconstans,1
Blue Sucker,Catostomidae,Cycleptus,Cycleptus.elongatus,1
Blacktail Shiner,Cyprinidae,Cyprinella,Cyprinella.venusta,1
Red Shiner,Cyprinidae,Cyprinella,Cyprinella.lutrensis,1
Spotfin Shiner,Cyprinidae,Cyprinella,Cyprinella.spiloptera,1
Common Carp,Cyprinidae,Cyprinus,Cyprinus.carpio,1
American Gizzard Shad,Clupeidae,Dorosoma,Dorosoma.cepedianum,1
Threadfin Shad,Clupeidae,Dorosoma,Dorosoma.petenense,1
Creek Chubsucker,Catostomidae,Erimyzon,Erimyzon.oblongus,1
Lake Chubsucker,Catostomidae,Erimyzon,Erimyzon.sucetta,1
Grass Pickerel,Esocidae,Esox,Esox.americanus.vermiculatus,1
Muskellunge,Esocidae,Esox,Esox.masquinongy,1
Northern Pike,Esocidae,Esox,Esox.lucius,1
Silver Phase Northern Pike,Esocidae,Esox,Esox.lucius,1
Banded Darter,Percidae,Etheostoma,Etheostoma.zonale,1
Bluntnose Darter,Percidae,Etheostoma,Etheostoma.chlorosomum,1
Cypress Darter,Percidae,Etheostoma,Etheostoma.proeliare,1
Fantail Darter,Percidae,Etheostoma,Etheostoma.flabellare,1
Greenside Darter,Percidae,Etheostoma,Etheostoma.blennioides,1
Harlequin Darter,Percidae,Etheostoma,Etheostoma.histrio,1
